Manufacturer, release_date, company, model_name, number_of_comments, socket, chipset, form_factor, memory, DIMM, M.2, SATA, power_supply, power_limit, power_supply_temperature, environment,MSRP
AMD,22.1,ASRock,B650E_PG_Riptide_WiFi,1,AM5,B650E,ATX,DDR5,4,3,4,17,-,59.7(25/7950X/WaterCooling),V_3.0,270
AMD,22.1,ASRock,B650E_PG-ITX_WiFi,0,AM5,B650E,M-ITX,DDR5,2,2,2,13,-,66.6(26/7950X/WaterCooling),V_2.8,380
AMD,22.1,ASRock,B650E_SteelLegend_WiFi,0,AM5,B650E,ATX,DDR5,4,3,2,19,-,55.2(26/7950X/WaterCooling),V_2.8,270
AMD,22.1,GIGABYTE,B650M_AORUS_ELITE_AX,0,AM5,B650,ATX,DDR5,4,2,4,15,-,48.1(26/7950X/WaterCooling),V_2.8,200
AMD,22.1,GIGABYTE,B650M_DS3H_DurableEdition,0,AM5,B650,M-ATX,DDR5,4,2,4,9,-,63.9(26/7900X/WaterCooling),V_2.8,150
AMD,22.1,ASRock,B650M_PG_Riptide,0,AM5,B650,ATX,DDR5,4,3,4,17,-,60.6(25/7900X/WaterCooling),V_2.8,180
Intel,22.1,ASUS,ROG_MAXIMUS_Z790_APEX,0,LGA1700,Z790,ATX,DDR5,2,2,6,24,-,54.5(24/13900KF/WaterCooling),V_2.8,850
Intel,22.1,ASUS,ROG_MAXIMUS_Z790_EXTREME,0,LGA1700,Z790,E-ATX,DDR5,4,3,6,25,-,52.8(26/13900K/WaterCooling),V_2.8,1500
Intel,22.1,ASUS,ROG_MAXIMUS_Z790_HERO,0,LGA1700,Z790,ATX,DDR5,4,3,6,21,-,57.3(24/13900KF/WaterCooling),V_2.8,750
Intel,22.1,ASUS,ROG_STRIX_Z790-A_GAMING_WIFI_D4,0,LGA1700,Z790,ATX,DDR5,4,4,4,17,Limited,68.8(25.0/13900K/WaterCooling),V_3.0,330
